Epoch: 44, cost_train = 0.168728898, accuracy_train = 95.41%, accuracy_test = 97.04%
Epoch: 45, cost_train = 0.168377978, accuracy_train = 95.75%, accuracy_test = 97.01%
Epoch: 46, cost_train = 0.165073140, accuracy_train = 95.71%, accuracy_test = 97.02%
Epoch: 47, cost_train = 0.165256942, accuracy_train = 95.81%, accuracy_test = 97.15%
Epoch: 48, cost_train = 0.161752489, accuracy_train = 95.73%, accuracy_test = 97.13%
Epoch: 49, cost_train = 0.161849555, accuracy_train = 95.72%, accuracy_test = 97.11%
Epoch: 50, cost_train = 0.158642210, accuracy_train = 95.96%, accuracy_test = 97.21%
Epoch: 51, cost_train = 0.159465058, accuracy_train = 95.97%, accuracy_test = 97.11%
Epoch: 52, cost_train = 0.157351902, accuracy_train = 95.99%, accuracy_test = 97.07%
Epoch: 53, cost_train = 0.152937971, accuracy_train = 96.15%, accuracy_test = 97.24%
Epoch: 54, cost_train = 0.154920857, accuracy_train = 95.66%, accuracy_test = 97.18%
Epoch: 55, cost_train = 0.151447306, accuracy_train = 96.04%, accuracy_test = 97.29%
Epoch: 56, cost_train = 0.152606567, accuracy_train = 95.86%, accuracy_test = 97.24%
Epoch: 57, cost_train = 0.149757686, accuracy_train = 95.71%, accuracy_test = 97.12%
Epoch: 58, cost_train = 0.149486674, accuracy_train = 95.85%, accuracy_test = 97.17%
Epoch: 59, cost_train = 0.148014421, accuracy_train = 96.51%, accuracy_test = 97.27%
Epoch: 60, cost_train = 0.147115784, accuracy_train = 96.39%, accuracy_test = 97.31%
Epoch: 61, cost_train = 0.144306375, accuracy_train = 96.12%, accuracy_test = 97.38%
Epoch: 62, cost_train = 0.141970152, accuracy_train = 96.43%, accuracy_test = 97.44%
Epoch: 63, cost_train = 0.141639577, accuracy_train = 96.06%, accuracy_test = 97.38%
Epoch: 64, cost_train = 0.142149769, accuracy_train = 96.27%, accuracy_test = 97.45%
Epoch: 65, cost_train = 0.139689207, accuracy_train = 96.68%, accuracy_test = 97.49%
Epoch: 66, cost_train = 0.141441019, accuracy_train = 96.33%, accuracy_test = 97.52%
Epoch: 67, cost_train = 0.141877443, accuracy_train = 96.27%, accuracy_test = 97.59%
Epoch: 68, cost_train = 0.137422219, accuracy_train = 96.42%, accuracy_test = 97.45%
Epoch: 69, cost_train = 0.136906438, accuracy_train = 96.59%, accuracy_test = 97.51%
Epoch: 70, cost_train = 0.138615504, accuracy_train = 96.16%, accuracy_test = 97.51%
Epoch: 71, cost_train = 0.134477342, accuracy_train = 96.20%, accuracy_test = 97.57%
Epoch: 72, cost_train = 0.132598014, accuracy_train = 96.44%, accuracy_test = 97.36%
Epoch: 73, cost_train = 0.132379538, accuracy_train = 96.73%, accuracy_test = 97.54%
Epoch: 74, cost_train = 0.137607155, accuracy_train = 96.34%, accuracy_test = 97.50%
Epoch: 75, cost_train = 0.131743841, accuracy_train = 96.59%, accuracy_test = 97.48%
Epoch: 76, cost_train = 0.131313936, accuracy_train = 96.81%, accuracy_test = 97.47%
Epoch: 77, cost_train = 0.127301905, accuracy_train = 96.83%, accuracy_test = 97.57%
Epoch: 78, cost_train = 0.129006395, accuracy_train = 96.71%, accuracy_test = 97.61%
Epoch: 79, cost_train = 0.126860493, accuracy_train = 96.87%, accuracy_test = 97.54%
Epoch: 80, cost_train = 0.126161645, accuracy_train = 96.73%, accuracy_test = 97.59%
Epoch: 81, cost_train = 0.128809217, accuracy_train = 96.74%, accuracy_test = 97.55%
Epoch: 82, cost_train = 0.123133230, accuracy_train = 96.90%, accuracy_test = 97.68%
Epoch: 83, cost_train = 0.124657338, accuracy_train = 96.76%, accuracy_test = 97.56%
Epoch: 84, cost_train = 0.122974163, accuracy_train = 96.83%, accuracy_test = 97.63%
Epoch: 85, cost_train = 0.124674444, accuracy_train = 96.86%, accuracy_test = 97.61%
Epoch: 86, cost_train = 0.124212693, accuracy_train = 96.78%, accuracy_test = 97.56%
Epoch: 87, cost_train = 0.122192304, accuracy_train = 96.94%, accuracy_test = 97.65%
