Free memory: 5.75GiB
2017-08-08 14:35:30.513650: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-08 14:35:30.513655: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-08 14:35:30.513661: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[  1.00000179e+00   3.15892568e-04   1.73035935e-02 ...,  -5.50063036e-04
    8.24835058e-03  -5.06040547e-03]
 [  3.15892568e-04   9.73555684e-01  -1.67631079e-03 ...,  -7.34409923e-03
    1.97415170e-03   8.43880232e-03]
 [  1.73035935e-02  -1.67631079e-03   9.99067008e-01 ...,  -1.81208481e-03
   -2.26946790e-02  -2.77298782e-03]
 ..., 
 [ -5.50063036e-04  -7.34409923e-03  -1.81208481e-03 ...,   9.91514683e-01
    2.62353700e-02   5.67122642e-03]
 [  8.24835058e-03   1.97415170e-03  -2.26946790e-02 ...,   2.62353700e-02
    9.72184479e-01  -5.70304831e-03]
 [ -5.06040547e-03   8.43880232e-03  -2.77298782e-03 ...,   5.67122642e-03
   -5.70304831e-03   9.70850945e-01]]
Epoch: 56, cost_train = 0.091810494, accuracy_train = 98.03%, accuracy_test = 98.25%
Epoch: 57, cost_train = 0.089509812, accuracy_train = 98.44%, accuracy_test = 98.30%
Epoch: 58, cost_train = 0.091979156, accuracy_train = 98.07%, accuracy_test = 98.26%
Epoch: 59, cost_train = 0.091694107, accuracy_train = 98.34%, accuracy_test = 98.34%
Epoch: 60, cost_train = 0.091196311, accuracy_train = 98.10%, accuracy_test = 98.31%
Epoch: 61, cost_train = 0.089900392, accuracy_train = 98.21%, accuracy_test = 98.48%
Epoch: 62, cost_train = 0.089157169, accuracy_train = 98.46%, accuracy_test = 98.46%
Epoch: 63, cost_train = 0.088163958, accuracy_train = 98.31%, accuracy_test = 98.47%
Epoch: 64, cost_train = 0.086968222, accuracy_train = 98.30%, accuracy_test = 98.52%
Epoch: 65, cost_train = 0.082529885, accuracy_train = 98.44%, accuracy_test = 98.44%
Epoch: 66, cost_train = 0.087121978, accuracy_train = 98.04%, accuracy_test = 98.44%
Epoch: 67, cost_train = 0.083991501, accuracy_train = 98.17%, accuracy_test = 98.36%
Epoch: 68, cost_train = 0.085228768, accuracy_train = 98.35%, accuracy_test = 98.31%
Epoch: 69, cost_train = 0.084274716, accuracy_train = 98.26%, accuracy_test = 98.49%
Epoch: 70, cost_train = 0.082996452, accuracy_train = 98.30%, accuracy_test = 98.38%
Epoch: 71, cost_train = 0.080807887, accuracy_train = 98.34%, accuracy_test = 98.50%
Epoch: 72, cost_train = 0.080733578, accuracy_train = 98.37%, accuracy_test = 98.40%
Epoch: 73, cost_train = 0.083618615, accuracy_train = 98.49%, accuracy_test = 98.34%
Epoch: 74, cost_train = 0.079429668, accuracy_train = 98.49%, accuracy_test = 98.42%
Epoch: 75, cost_train = 0.077447313, accuracy_train = 98.24%, accuracy_test = 98.49%
Epoch: 76, cost_train = 0.080319554, accuracy_train = 98.34%, accuracy_test = 98.47%
Epoch: 77, cost_train = 0.078441042, accuracy_train = 98.46%, accuracy_test = 98.54%
Epoch: 78, cost_train = 0.078090137, accuracy_train = 98.41%, accuracy_test = 98.50%
Epoch: 79, cost_train = 0.078940878, accuracy_train = 98.34%, accuracy_test = 98.40%
Epoch: 80, cost_train = 0.076852485, accuracy_train = 98.61%, accuracy_test = 98.49%
Epoch: 81, cost_train = 0.077641767, accuracy_train = 98.42%, accuracy_test = 98.55%
Epoch: 82, cost_train = 0.075371527, accuracy_train = 98.75%, accuracy_test = 98.34%
