Epoch: 37, cost_train = 0.111984990, accuracy_train = 97.85%, accuracy_test = 97.56%
Epoch: 38, cost_train = 0.108381830, accuracy_train = 97.91%, accuracy_test = 97.40%
Epoch: 39, cost_train = 0.108441937, accuracy_train = 98.15%, accuracy_test = 97.49%
Epoch: 40, cost_train = 0.104222823, accuracy_train = 98.12%, accuracy_test = 97.63%
Epoch: 41, cost_train = 0.103134006, accuracy_train = 98.39%, accuracy_test = 97.78%
Epoch: 42, cost_train = 0.101786976, accuracy_train = 98.34%, accuracy_test = 97.97%
Epoch: 43, cost_train = 0.097527652, accuracy_train = 98.38%, accuracy_test = 98.16%
Epoch: 44, cost_train = 0.101174403, accuracy_train = 98.21%, accuracy_test = 97.83%
Epoch: 45, cost_train = 0.100376598, accuracy_train = 98.34%, accuracy_test = 98.08%
Epoch: 46, cost_train = 0.097689018, accuracy_train = 98.60%, accuracy_test = 98.23%
Epoch: 47, cost_train = 0.094400169, accuracy_train = 98.37%, accuracy_test = 98.20%
Epoch: 48, cost_train = 0.094313039, accuracy_train = 98.46%, accuracy_test = 97.92%
Epoch: 49, cost_train = 0.094771606, accuracy_train = 98.48%, accuracy_test = 98.10%
Epoch: 50, cost_train = 0.095065836, accuracy_train = 98.51%, accuracy_test = 97.91%
Epoch: 51, cost_train = 0.094708280, accuracy_train = 98.30%, accuracy_test = 98.14%
Epoch: 52, cost_train = 0.091472802, accuracy_train = 98.70%, accuracy_test = 98.15%
Epoch: 53, cost_train = 0.088483580, accuracy_train = 98.77%, accuracy_test = 98.06%
Epoch: 54, cost_train = 0.087137604, accuracy_train = 98.83%, accuracy_test = 98.24%
Epoch: 55, cost_train = 0.090983549, accuracy_train = 98.79%, accuracy_test = 98.17%
Epoch: 56, cost_train = 0.086709423, accuracy_train = 98.84%, accuracy_test = 98.27%
Epoch: 57, cost_train = 0.086469373, accuracy_train = 98.69%, accuracy_test = 97.98%
Epoch: 58, cost_train = 0.086990670, accuracy_train = 98.74%, accuracy_test = 98.18%
Epoch: 59, cost_train = 0.086375280, accuracy_train = 98.49%, accuracy_test = 98.12%
Epoch: 60, cost_train = 0.085277296, accuracy_train = 98.70%, accuracy_test = 98.05%
Epoch: 61, cost_train = 0.084152951, accuracy_train = 98.86%, accuracy_test = 98.38%
Epoch: 62, cost_train = 0.082064406, accuracy_train = 98.86%, accuracy_test = 98.29%
Epoch: 63, cost_train = 0.081788447, accuracy_train = 98.88%, accuracy_test = 98.23%
Epoch: 64, cost_train = 0.080615425, accuracy_train = 98.91%, accuracy_test = 98.27%
Epoch: 65, cost_train = 0.079734920, accuracy_train = 98.82%, accuracy_test = 98.08%
Epoch: 66, cost_train = 0.082989282, accuracy_train = 98.52%, accuracy_test = 98.34%
Epoch: 67, cost_train = 0.081171965, accuracy_train = 98.49%, accuracy_test = 98.12%
Epoch: 68, cost_train = 0.080678012, accuracy_train = 98.76%, accuracy_test = 98.03%
Epoch: 69, cost_train = 0.079804367, accuracy_train = 98.67%, accuracy_test = 98.22%
Epoch: 70, cost_train = 0.078189589, accuracy_train = 98.42%, accuracy_test = 98.10%
Epoch: 71, cost_train = 0.076185666, accuracy_train = 98.92%, accuracy_test = 98.37%
